Package
afex
Amelia
anim.plots
animation
antiword
anytime
arules
arulesViz
ascii
assertive
assertr
assertthat
bayesAB
bayesboot
beepr
bigrquery
bookdown
Boruta
broom
BTYD
BTYDplus
C50
car
caret
changepoint
charlatan
checkmate
checkpoint
choroplethr
choroplethrMaps
chunked
class
cld2
cld3
cleanNLP
clickR
cluster
CodeDepends
colorspace
condformat
confinterpret
constants
corrplot
corrr
countrycode
cowplot
cranlogs
CRANsearcher
cronR
cshapes
ctv
ctv
d3Tree
data.table
dataCompareR
DataCombine
dataMaid
datapasta
dbplyr
desctable
DescTools
DiagrammeR
diffobj
directlabels
DT
dummies
e1071
effects
errors
expss
extrafont
factoextra
FactoMineR
fBasics
FFTrees
filesstrings
flexdashboard
forecast
forecTheta
foreign
formatR
formattable
fst
futile.logger
fuzzyjoin
gap
gapminder
gbm
gdalUtils
geonames
geoR
geosphere
GeoXp
GGally
ggalt
ggbeeswarm
ggcorrplot
ggedit
ggforce
ggfortify
ggimage
ggiraph
ggmap
ggplotgui
ggpubr
ggraph
ggrepel
ggseas
ggsci
ggtern
ggThemeAssist
ggthemes
ggvis
ghibli
gistr
glmnet
glue
gmodels
googlesheets
gpclib
gridExtra
gsubfn
gtable
heatmaply
here
hexbin
hexSticker
highcharter
Hmisc
htmltab
htmlwidgets
httpuv
humanFormat
hunspell
huxtable
igraph
imputeTS
janitor
kableExtra
kernlab
Kmisc
knitr
leaflet
leaflet.minicharts
leaps
lessR
lintr
liquidSVM
listviewer
lmtest
logging
lumberjack
magick
magrittr
manipulate
mapdata
mapedit
mapmisc
maps
maptools
mapview
margins
MASS
Matrix
mi
mice
microbenchmark
mime
miniCRAN
missForest
missMDA
Modeler
munsell
naniar
naturalsort
neuralnet
nloptr
NMF
numform
optparse
osmdata
papeR
party
pathological
pdftools
PerformanceAnalytics
pinp
pixiedust
pkggraph
plotKML
plotly
plotrr
pointblank
postGIStools
prettydoc
prettyunits
profvis
progress
psych
qdapRegex
quantmod
R.utils
RandomFields
randomForest
randomForestExplainer
raster
rasterVis
RColorBrewer
Rcpp
RcppEigen
RcppQuantuccia
RCurl
readtext
ReporteRs
reprex
reticulate
revealjs
rgdal
rgeos
RgoogleMaps
rhandsontable
rio
riverplot
rmarkdown
rmdformats
rms
robets
rpart
rpart.plot
rpg
rpostgis
rprojroot
rsample
RTextTools
rticles
rts
rworldmap
sas7bdat
scatterplot3d
sessioninfo
shapefiles
shiny
shinyBS
shinydashboard
shinyFiles
shinyjs
showtext
sigr
SimDesign
Simpsons
sjmisc
sjPlot
sjstats
SnowballC
sos
sp
sparklyr
spatstat
stringdist
sugrrants
summarytools
sweep
tables
tadaatoolbox
tatoo
tester
textclean
textreadr
tictoc
tidygraph
tidyquant
tidytext
tidyxl
timetk
tint
tm
tmap
tmaptools
topicmodels
tseries
TTR
tufte
udunits2
unrtf
validate
VIM
viridis
wesanderson
wordcloud 
XML
xts
zoo
