AliciaSchep/gglabeller
AntoineGuillot2/D3partitionR
AppliedDataSciencePartners/xgboostExplainer
aryoda/tryCatchLog
benmarwick/wordcountaddin
bhaskarvk/leaflet.extras
ColinFay/aside
ColinFay/tidystringdist
datacamp/RDocumentation
dgrtwo/gganimate
drsimonj/twidlr
dyerlab/popgraph
edgararuiz/dbplot
edgararuiz/tidypredict
EmilHvitfeldt/ggpage
gabrielrvsc/HDeconometrics
gsimchoni/kandinsky
hadley/pkgdown
hadley/precis
hadley/strict
hafen/trelliscopejs
hrbrmstr/msgxtractr
hrbrmstr/waffle
IndrajeetPatil/ggstatsplot
jkaupp/nord
jeremystan/aargh
kevinushey/Kmisc
lantanacamara/lightgbmExplainer
MangoTheCat/goodpractice
MilesMcBain/deplearning
MilesMcBain/gistfo
MilesMcBain/packup
mvuorre/brmstools
pbiecek/breakDown
richarddmorey/tweetRcode
rich-iannone/blastula
r-lib/boxes
ropensci/ssh
ropensci/tabulizer
ropensci/tabulizerjars
ropenscilabs/available
ropenscilabs/data-packages
ropenscilabs/icon
ropenscilabs/packagemetrics
rstats-db/RPostgres
rstudio/blogdown
seasmith/AlignAssign
sicarul/xray
smach/rmiscutils
Stan125/GREA
swarm-lab/editR
ThinkR-open/remedy
ThinkRstat/littleboxes
thomasp85/farver
thomasp85/patchwork
tjmahr/WrapRmd
trestletech/shinyAce
vqv/ggbiplot
wilkox/ggfittext
WinVector/rquery
kassambara/r2excel
